ID,longitude,latitude,time
path2,73.0328114,33.69663042,7:59:00 AM
path2,73.03171644,33.69560765,7:59:20 AM
path2,73.03083328,33.69498574,7:59:40 AM
path2,73.02989763,33.69459961,8:00:00 AM
path2,73.02888756,33.69415281,8:00:20 AM
path2,73.02787827,33.69348024,8:00:40 AM
path2,73.02692788,33.693311,8:01:00 AM
path2,73.02664906,33.69387236,8:01:20 AM
path2,73.02637268,33.69449189,8:01:40 AM
path2,73.02547887,33.69499602,8:02:00 AM
path2,73.02493335,33.69573076,8:02:20 AM
path2,73.02438862,33.69657906,8:02:40 AM
path2,73.02391226,33.69725779,8:03:00 AM
path2,73.0235697,33.69804904,8:03:20 AM
path2,73.02275313,33.69867121,8:03:40 AM
path2,73.02274828,33.69963198,8:04:00 AM
path2,73.02274423,33.70048001,8:04:20 AM
path2,73.02321109,33.70098785,8:04:40 AM
path2,73.02449133,33.7009857,8:05:00 AM
path2,73.02570471,33.70098346,8:05:20 AM
path2,73.02651694,33.70154944,8:05:40 AM
path2,73.02753519,33.7021159,8:06:00 AM
path2,73.02760661,33.70308031,8:06:20 AM
path2,73.02706914,33.70387455,8:06:40 AM
path2,73.02821973,33.70410095,8:07:00 AM
path2,73.02923081,33.70421384,8:07:20 AM
path2,73.02984158,33.70512166,8:07:40 AM
path2,73.02997424,33.705973,8:08:00 AM
path2,73.02936078,33.70654043,8:08:20 AM
path2,73.02855194,33.70705015,8:08:40 AM
path2,73.02921821,33.70756273,8:09:00 AM
path2,73.03011207,33.70778897,8:09:20 AM
path2,73.0312811,33.70801455,8:09:40 AM
path2,73.03251404,33.70824047,8:10:00 AM
path2,73.03354004,33.70886337,8:10:20 AM
path2,73.03449337,33.70943058,8:10:40 AM
path2,73.03577885,33.71000142,8:11:00 AM
path2,73.03659898,33.71028447,8:11:20 AM
path2,73.03823881,33.71068004,8:11:40 AM
path2,73.03912431,33.71124787,8:12:00 AM
path2,73.03973697,33.71187272,8:12:20 AM
path2,73.04041722,33.71261204,8:12:40 AM
path2,73.04021059,33.71346523,8:13:00 AM
path2,73.03959493,33.71414778,8:13:20 AM
path2,73.03918509,33.71482928,8:13:40 AM
path2,73.03891199,33.71556725,8:14:00 AM
path2,73.03829758,33.71664578,8:14:20 AM
